eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
goal,False,com.kmong.kmong,3.3.2,SM-N920S,samsung,Android6.0.1,bb0c7df5-1c29-4a0c-8d26-65a72f1849a6,unattributed,unattributed,,,,category_gig.view,112.0,2018-09-29T03:18:27+09:00,3d7a1871-21a3-43e3-9351-cc7b7823967e,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,17189C75-A66B-4C00-A40A-33919A37B8DB,unattributed,unattributed,,,,gig_detail.view,20302.0,2018-09-29T03:18:30+09:00,3dcad062-fd6c-4735-be42-2ec2a14e1335,True,True
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,5E1FE33C-2941-482E-B2AD-1BCF1A0C9FCF,unattributed,unattributed,,,,,,2018-09-29T03:18:32+09:00,9b4b2613-1461-42a0-8bf1-e3182c2a0fd8,False,False
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,0AB81A3E-1683-4C75-B93D-4FD5AEDB7C40,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T03:18:32+09:00,279ea7bc-fb0f-4dae-a3ff-d60e4ce31617,False,True
goal,True,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,gig_detail.view,20307.0,2018-09-29T03:18:33+09:00,f70b488d-ea52-4ef6-b02b-390c69a6f699,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,5E1FE33C-2941-482E-B2AD-1BCF1A0C9FCF,unattributed,unattributed,,,,home.view,,2018-09-29T03:18:33+09:00,23be6613-0fe7-4f3b-92d6-17558900dc96,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,17189C75-A66B-4C00-A40A-33919A37B8DB,unattributed,unattributed,,,,search_gig.view,,2018-09-29T03:18:34+09:00,5449e7d0-5828-49e8-b77c-0b1d004fdb6b,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,17189C75-A66B-4C00-A40A-33919A37B8DB,unattributed,unattributed,,,,gig_detail.view,210.0,2018-09-29T03:18:35+09:00,d2299c4e-6f81-4fa2-a699-eee1ceeda4e1,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,0AB81A3E-1683-4C75-B93D-4FD5AEDB7C40,unattributed,unattributed,,,,inbox.view,,2018-09-29T03:18:35+09:00,d955b724-6b8f-428a-bad7-07be18ad5616,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,category_gig.view,2.0,2018-09-29T03:18:35+09:00,c1192696-4a58-458f-acc6-b0660bbe2872,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,home.view,,2018-09-29T03:18:36+09:00,dfb122aa-707c-4df1-bdd3-90b1195421c6,False,True
goal,False,com.kmong.kmong,3.3.2,SM-N920S,samsung,Android6.0.1,bb0c7df5-1c29-4a0c-8d26-65a72f1849a6,unattributed,unattributed,,,,gig_detail.view,112.0,2018-09-29T03:18:38+09:00,39e65e49-1b1e-4359-bdc9-01b4342d1dc8,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,0AB81A3E-1683-4C75-B93D-4FD5AEDB7C40,unattributed,unattributed,,,,home.view,,2018-09-29T03:18:39+09:00,aab54aac-580d-4aa4-b74d-2acc4ef4b4a8,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.2.6,9A58CC9C-8CD5-4624-9625-E9E0A92E9B2C,,,,,,,,2018-09-29T03:18:40+09:00,5e4817f1-29ad-4310-a848-c371649e0ced,,True
goal,False,com.kmong.kmong,3.3.5,LGM-V300S,LGE,Android8.0.0,398649c7-cb22-4327-a5ad-ca0ccd0c6e9e,unattributed,unattributed,,,,home.view,,2018-09-29T03:18:41+09:00,bc5d1ebf-4027-4f26-9932-18174fa3565e,False,True
foreground,,com.kmong.kmong,3.3.5,LGM-V300S,LGE,Android8.0.0,398649c7-cb22-4327-a5ad-ca0ccd0c6e9e,,,,,,,,2018-09-29T03:18:41+09:00,e1d660e9-ceab-45c5-80c8-f3d191f70c80,,True
goal,False,com.kmong.kmong,3.3.5,LG-F700K,LGE,Android8.0.0,ecfefd12-94d9-4a78-8ef7-ac0851a8e243,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T03:18:41+09:00,0531362d-0430-4742-9f38-ebdcc113b9cc,False,True
foreground,,com.kmong.kmong,3.3.5,LG-F700K,LGE,Android8.0.0,ecfefd12-94d9-4a78-8ef7-ac0851a8e243,,,,,,,,2018-09-29T03:18:41+09:00,c05cf7a4-da04-42ae-85e2-8635959b2001,,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,0AB81A3E-1683-4C75-B93D-4FD5AEDB7C40,unattributed,unattributed,,,,gig_detail.view,605.0,2018-09-29T03:18:43+09:00,b0b124af-5c96-44dc-a786-aad623d13eff,False,True
background,,com.kmong.kmong,3.3.5,LGM-V300S,LGE,Android8.0.0,398649c7-cb22-4327-a5ad-ca0ccd0c6e9e,,,,,,,,2018-09-29T03:18:44+09:00,01a62264-be80-4059-9d89-e8a71b765ec2,,True
exit,,com.kmong.kmong,3.3.5,LGM-V300S,LGE,Android8.0.0,398649c7-cb22-4327-a5ad-ca0ccd0c6e9e,,,,,,,,2018-09-29T03:18:44+09:00,6fb66df2-b8c0-46a7-8a65-0ff6e0feeb02,,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,5E1FE33C-2941-482E-B2AD-1BCF1A0C9FCF,unattributed,unattributed,,,,category_gig.view,9.0,2018-09-29T03:18:46+09:00,26323114-34b9-4015-9ace-9b56c00db2e6,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,home.view,,2018-09-29T03:18:48+09:00,51968339-4399-449f-830f-0cf93a0a85e4,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,notification.view,,2018-09-29T03:18:51+09:00,84f3f5d3-dfab-4fae-a7ad-f345d8055c98,False,True
goal,False,com.kmong.kmong,3.3.2,SM-N900S,samsung,Android5.0,8cc6185c-ed53-49da-a47e-d1fe8a217c89,unattributed,unattributed,,,,search_gig.view,,2018-09-29T03:18:53+09:00,f3221d2d-bfaa-45bc-a25a-42ad60c7453a,False,True
goal,False,com.kmong.kmong,3.3.2,SM-N900S,samsung,Android5.0,8cc6185c-ed53-49da-a47e-d1fe8a217c89,unattributed,unattributed,,,,search.view,,2018-09-29T03:18:53+09:00,6c7d5631-1c97-41e1-9f5d-060eb7df55a3,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,5E1FE33C-2941-482E-B2AD-1BCF1A0C9FCF,unattributed,unattributed,,,,gig_detail.view,902.0,2018-09-29T03:18:59+09:00,0740d49f-d7c9-4d2a-8f0d-3e4caf79ceea,False,True
launch,,com.kmong.kmong,3.3.5,SM-N750S,samsung,Android5.1.1,2d6e9042-6d9a-4d7b-9f1a-13707dc09e51,,,,,,,,2018-09-29T03:18:59+09:00,07c5c328-0236-406a-91e6-f692b0a70a9b,,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,notification.view,,2018-09-29T03:19:00+09:00,75ab9b4e-a481-4269-8cba-6c80b2a0e95d,False,True
goal,False,com.kmong.kmong,3.3.5,LG-F700K,LGE,Android8.0.0,ecfefd12-94d9-4a78-8ef7-ac0851a8e243,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T03:19:06+09:00,8d4cfb3a-af23-4417-8370-0ed6a57dbc3d,False,True
