eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
goal,False,com.kmong.iOS,4.0.3,iPhone,Apple,iOS11.4.1,0A44E21D-3E81-41CE-BA57-3F0FAF0D6851,unattributed,unattributed,,,,menu.view,,2018-09-29T20:16:04+09:00,0a1a4841-c6fd-4d2a-a8b6-8c2026938a1d,False,True
foreground,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.3,1DBA4888-FA94-4371-89C6-ED25DD93B46C,,,,,,,,2018-09-29T20:16:04+09:00,61e01741-c655-42ac-8553-6828f6e8115d,,True
goal,False,com.kmong.kmong,3.3.5,SM-A810S,samsung,Android7.0,09e27fb4-d21b-40b2-9ccb-5c5f4b9a34ee,unattributed,unattributed,,,,gig_detail_option.click,10802.0,2018-09-29T20:16:04+09:00,efc08b2d-ee10-4638-85f3-99e6a7b9a416,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,81CAEFBE-117D-4EC1-B43D-CA5AF6DACB61,viral,WEB,,,,search_gig.view,,2018-09-29T20:16:04+09:00,0d6b37b6-e317-44f1-bad3-12d498ce3368,False,True
exit,,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,73408423-050f-4f91-aa62-1c9b7dbf8108,,,,,,,,2018-09-29T20:16:04+09:00,656950c0-9879-4089-b7f8-e1a0d3629c15,,True
launch,False,com.kmong.kmong,3.3.2,LG-F700K,LGE,Android6.0.1,f861f932-6943-4773-8e70-d21fa5762af6,unattributed,unattributed,,,,,,2018-09-29T20:16:04+09:00,dd229814-2b4b-43f4-a3f9-92db92d617c8,False,False
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,4A118C9B-0299-4B08-BE85-26E55E1A52CD,,,,,,,,2018-09-29T20:16:05+09:00,cb371809-39e1-45f2-bc87-aecc8014092e,,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.3,1DBA4888-FA94-4371-89C6-ED25DD93B46C,viral,WEB,,,,buyer_order_track.view,,2018-09-29T20:16:05+09:00,4a52ce15-e37b-4109-aac9-130c9859cb37,False,True
background,,com.kmong.iOS,4.0.3,iPhone,Apple,iOS11.4.1,0A44E21D-3E81-41CE-BA57-3F0FAF0D6851,,,,,,,,2018-09-29T20:16:05+09:00,140df55e-1603-4cc3-aad4-0b114bbd45db,,True
goal,False,com.kmong.kmong,3.3.2,LG-F700K,LGE,Android6.0.1,f861f932-6943-4773-8e70-d21fa5762af6,unattributed,unattributed,,,,home.view,,2018-09-29T20:16:05+09:00,57855bab-779b-419b-9798-987e5ce16d8a,False,True
exit,,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,,,,,,,,2018-09-29T20:16:05+09:00,a9d585e1-012e-4bb0-95bf-47a760fafc5a,,True
goal,True,com.kmong.kmong,3.3.5,SM-N920K,samsung,Android7.0,2e24ebc3-30fb-4029-be9a-2f9dfa9d176a,unattributed,unattributed,,,,gig_detail.view,20302.0,2018-09-29T20:16:05+09:00,9964d6e5-7d2e-4aa5-b82b-d90ca5f85bf9,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G935S,samsung,Android8.0.0,e0d45a55-da7c-40ad-8b4e-3b250e1effc0,unattributed,unattributed,,,,category_gig.view,617.0,2018-09-29T20:16:06+09:00,49b39e18-d1f9-4f8d-8049-cb762ac9f359,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G930L,samsung,Android8.0.0,b1348290-5bed-4afa-a769-509e29d76efe,unattributed,unattributed,,,,gig_detail.view,916.0,2018-09-29T20:16:06+09:00,48201e5b-8832-4bee-95f6-3a659f3cc8df,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,89608424-40B8-4486-A98E-3D44A4DE443A,unattributed,unattributed,,,,search_gig.view,,2018-09-29T20:16:06+09:00,bf8804a5-31e3-42ac-a840-db7fea1daea1,False,True
goal,False,com.kmong.kmong,3.3.5,LG-F500S,LGE,Android6.0,40ebf196-e565-474d-a6ae-65a39050532d,unattributed,unattributed,,,,seller_selling_history.view,,2018-09-29T20:16:06+09:00,4af6ab74-0b87-4e3b-800c-487316005156,False,True
goal,False,com.kmong.kmong,3.3.2,LG-F700K,LGE,Android6.0.1,f861f932-6943-4773-8e70-d21fa5762af6,unattributed,unattributed,,,,inbox.view,,2018-09-29T20:16:07+09:00,cfd1c62a-98b5-4cf9-8ee1-23f79cfbdbbd,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,81CAEFBE-117D-4EC1-B43D-CA5AF6DACB61,viral,WEB,,,,gig_detail.view,104.0,2018-09-29T20:16:07+09:00,14f092c7-26d7-4cff-a738-4ac1f3c919c4,False,True
goal,True,com.kmong.kmong,3.3.5,SM-A810S,samsung,Android7.0,09e27fb4-d21b-40b2-9ccb-5c5f4b9a34ee,unattributed,unattributed,,,,order_addOption.click,10802.0,2018-09-29T20:16:08+09:00,6f5ab766-143e-46b7-97ef-a46ea444221e,True,True
goal,False,com.kmong.kmong,3.3.5,LGM-G600S,LGE,Android7.0,48430061-73f6-4528-b79f-8a7100d4ca2b,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T20:16:08+09:00,c7118c52-acbb-4525-b2cb-7ae4a6d5fa2d,False,True
goal,False,com.kmong.kmong,3.3.2,SM-G955N,samsung,Android8.0.0,91cd4bdc-cdc5-420c-ab83-db8b634351be,unattributed,unattributed,,,,notification.view,,2018-09-29T20:16:08+09:00,1537edbb-a4a5-411a-ba10-e089a9c7d403,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.3,1DBA4888-FA94-4371-89C6-ED25DD93B46C,,,,,,,,2018-09-29T20:16:09+09:00,696ee0d6-0404-4b70-8cbe-41e5563aec49,,True
goal,False,com.kmong.kmong,3.3.2,LG-F700K,LGE,Android6.0.1,f861f932-6943-4773-8e70-d21fa5762af6,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T20:16:09+09:00,e8722c54-2793-45d7-a6d8-df71591bd326,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G935S,samsung,Android8.0.0,e0d45a55-da7c-40ad-8b4e-3b250e1effc0,unattributed,unattributed,,,,gig_detail.view,617.0,2018-09-29T20:16:10+09:00,f489e0fd-8f0b-4101-992b-a1efd74a65d8,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,89608424-40B8-4486-A98E-3D44A4DE443A,unattributed,unattributed,,,,gig_detail.view,706.0,2018-09-29T20:16:12+09:00,22d6948a-026c-4924-a9ec-f7bdf8814f91,False,True
goal,False,com.kmong.kmong,3.3.2,SM-G955N,samsung,Android8.0.0,91cd4bdc-cdc5-420c-ab83-db8b634351be,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T20:16:13+09:00,8bf916db-0b0a-4fa2-a5e3-99053dea10f5,False,True
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,3B699E8C-FA68-4DA4-B77D-E1B8D2247C9A,unattributed,unattributed,,,,,,2018-09-29T20:16:13+09:00,00304415-a112-4726-8c0a-729c6b8f4d3e,False,False
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,89608424-40B8-4486-A98E-3D44A4DE443A,unattributed,unattributed,,,,gig_detail.view,706.0,2018-09-29T20:16:13+09:00,0041f099-2a50-4c54-baab-c8e7cbe1bdd6,False,True
launchInSession,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,FAB96F23-1534-493C-988B-E38DD33563FE,,,,,,,,2018-09-29T20:16:13+09:00,e4ddb02d-f097-4275-9a6c-05d4872fd4e1,,False
goal,True,com.kmong.kmong,3.3.5,SM-G930L,samsung,Android8.0.0,b1348290-5bed-4afa-a769-509e29d76efe,unattributed,unattributed,,,,gig_detail_option.click,916.0,2018-09-29T20:16:15+09:00,7e00ad4f-2c1a-4dd0-a132-5f900f653f16,True,True
goal,False,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,c047ad25-080c-4f6e-9119-6005da88a53f,unattributed,unattributed,,,,gig_detail.view,21704.0,2018-09-29T20:16:15+09:00,dc318f07-0eaf-4cbb-bb77-e1e5d8900a25,False,True
foreground,,com.kmong.iOS,4.0.3,iPhone,Apple,iOS11.4.1,0A44E21D-3E81-41CE-BA57-3F0FAF0D6851,,,,,,,,2018-09-29T20:16:15+09:00,c5a5a37d-8332-4fc6-a95e-ebc84904652c,,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,3B699E8C-FA68-4DA4-B77D-E1B8D2247C9A,,,,,,,,2018-09-29T20:16:16+09:00,683cd8cc-2dce-4484-ae57-17b37bb2f0a5,,True
goal,False,com.kmong.iOS,4.0.3,iPhone,Apple,iOS11.4.1,0A44E21D-3E81-41CE-BA57-3F0FAF0D6851,unattributed,unattributed,,,,buyer_order_history.view,,2018-09-29T20:16:16+09:00,cffa64f7-ddf6-46ef-a0d8-d37fd156331e,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4,17A737A7-86DF-457A-8821-E15EA4050948,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T20:16:17+09:00,6736882f-100d-4fd9-986d-7798b9ff50e8,False,True
goal,False,com.kmong.iOS,4.0.3,iPhone,Apple,iOS11.4.1,0A44E21D-3E81-41CE-BA57-3F0FAF0D6851,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T20:16:18+09:00,42efcb01-d008-4dad-be76-a199f11e9320,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4,17A737A7-86DF-457A-8821-E15EA4050948,unattributed,unattributed,,,,inbox.view,,2018-09-29T20:16:18+09:00,460af2d5-c4e6-49eb-abcb-7022c5447613,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,c6939c88-8b35-42f8-975d-e19ca58a8371,unattributed,unattributed,,,,home.view,,2018-09-29T20:16:18+09:00,40223571-5a30-4168-ba0e-91c44e80a15b,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,81CAEFBE-117D-4EC1-B43D-CA5AF6DACB61,viral,WEB,,,,inbox_detail.view,,2018-09-29T20:16:18+09:00,f88d2b24-1113-4b86-b2a2-79b2906583f2,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,FAB96F23-1534-493C-988B-E38DD33563FE,unattributed,unattributed,,,,home.view,,2018-09-29T20:16:19+09:00,c84d3c34-02cc-42d0-8555-cb77577d3f65,True,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4,17A737A7-86DF-457A-8821-E15EA4050948,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T20:16:19+09:00,7a1dd582-0597-4b0d-801a-817e0de4c502,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G930L,samsung,Android8.0.0,b1348290-5bed-4afa-a769-509e29d76efe,unattributed,unattributed,,,,order_addOption.click,916.0,2018-09-29T20:16:20+09:00,42bf6d01-c96d-4b57-8b1c-479046b0551b,True,True
goal,False,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android7.1.1,ef47b02d-e955-4b7c-ac7d-4baa7a173974,unattributed,unattributed,,,,gig_detail.view,21501.0,2018-09-29T20:16:20+09:00,646ac8d6-03de-45f2-a4bc-c03c1b7199f0,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,2265B8FA-CAF0-4EA1-865B-9D4BCC96D41F,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T20:16:21+09:00,b34f9260-ed96-447f-a433-fc00a4ad2e34,False,True
exit,,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,c6939c88-8b35-42f8-975d-e19ca58a8371,,,,,,,,2018-09-29T20:16:21+09:00,0451f0ac-9375-4458-a41c-beb7234b654d,,True
background,,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,c6939c88-8b35-42f8-975d-e19ca58a8371,,,,,,,,2018-09-29T20:16:21+09:00,dc79fff5-c0a6-4c38-9173-359e4331403d,,True
goal,False,com.kmong.kmong,3.3.5,SM-G935S,samsung,Android8.0.0,e0d45a55-da7c-40ad-8b4e-3b250e1effc0,unattributed,unattributed,,,,category_gig.view,617.0,2018-09-29T20:16:21+09:00,d227b796-6fab-463e-83cd-b16371e97c15,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,c047ad25-080c-4f6e-9119-6005da88a53f,unattributed,unattributed,,,,category_gig.view,2.0,2018-09-29T20:16:22+09:00,4dbd50f9-a245-4661-9643-80c2acc315f9,False,True
